id,overall_status,study_type,start_date,enrollment,condition,location_countries,intervention,title,date_processed,sponsors
NCT04380961,Recruiting,Interventional,"April 24, 2020",270,SEVERE OR CRITICAL CONFIRMED CORONAVIRUS DISEASE (COVID)-19,UNITED STATES,SIRUKUMAB,"Phase 2, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical COVID-19 Disease","February 08, 2021","Janssen Pharmaceutica N.V., Belgium"
NCT04333849,Completed,Observational,"March 25, 2020",132,CORONAVIRUS,FRANCE,,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,"February 08, 2021","University Hospital, Angers"
NCT04322487,Recruiting,Observational,"April 8, 2020",100,CORONAVIRUS,ITALY,LUNG ULTRASOUND,"Proposal for International Standardization of the Use of Lung Ultrasound for COVID-19 Patients; a Simple, Quantitative, Reproducible Method","February 08, 2021",Catholic University of the Sacred Heart
NCT04363502,Recruiting,Interventional,"May 7, 2020",30,COVID,UNITED STATES,CLAZAKIZUMAB,A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,"February 08, 2021",Johns Hopkins University
NCT04558463,Recruiting,Interventional,"April 16, 2020",100,COVID,INDONESIA,FAVIPIRAVIR,The Effectivity and Safety of Favipiravir Compared to Oseltamivir as Adjuvant Therapy for COVID-19: An Open Label Trial,"February 08, 2021",Indonesia University
NCT04442217,Not yet recruiting,Observational,"June 22, 2020",4000,ADHERENCE TO WHO-ADVISED HYGIENE-RELATED BEHAVIOR,,PROSPECTIVE STUDY WITH TWO MEASUREMENT POINTS INVESTIGATING THE IMPACT OF VIRAL MITIGATION PROTOCOLS ON MENTAL HEALTH,Factors Associated With Adherence to Hygiene-related Behaviors and Viral Mitigation Protocols During the COVID-19 Pandemic,"February 08, 2021",University of Oslo
NCT04655716,Not yet recruiting,Interventional,"February 1, 2021",80,COVID,,SODIUM BICARBONATE 150MEQ/L/D5W INJ,Urine Alkalinisation to Prevent Acute Kidney Injury in COVID-19,"February 08, 2021",Guy's and St Thomas' NHS Foundation Trust
NCT04628637,Completed,Observational,"April 16, 2020",144,COVID,TURKEY,SERUM PROTEIN LEVEL ANALYSIS,High GRP78 Levels in Covid-19 Infection: A Case-Control Study,"February 08, 2021",Kafkas University
NCT04560608,Recruiting,Observational [Patient Registry],"March 15, 2020",255,COVID,FRANCE,,"Elucidating the Symptomatic, Explanatory and Prognostic Characteristics of GERIAtric Patients Hospitalized for COVID-19","February 08, 2021","University Hospital, Angers"
NCT04532554,Withdrawn,Interventional,"October 26, 2020",0,COVID,EGYPT,GROWTH HORMONE,The Impact of Growth Hormone in Obese Cases With Covid-19,"February 08, 2021",ClinAmygate
